model,fixture,config,status,stop_reason,steps,tool_calls,validated_findings,llm_findings,solved,expected_vuln,detected,loop_detected,watchdog_trips,wall_s,budget_tokens,budget_cost,llm_tokens_in,llm_tokens_out,llm_calls,output_dir
deepseek-v4-flash,web-001,baseline,no_validated_findings,finished,11,12,0,2,False,LFI,1,0,0,56.99,4700,0.01,99409,3087,11,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-001_dispatcher_mixed_default_20260628T070725Z
deepseek-v4-flash,web-001,C2_only,no_validated_findings,finished,12,13,0,2,False,LFI,0,0,0,56.52,3800,0.008,108421,2959,12,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-001_dispatcher_mixed_default_20260628T070824Z
deepseek-v4-flash,web-001,C3_only,no_validated_findings,finished,8,10,0,1,False,LFI,0,0,0,47.95,3300,0.007,92398,2938,8,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-001_dispatcher_mixed_default_20260628T070922Z
deepseek-v4-flash,web-001,C1_only,no_validated_findings,finished,40,40,0,3,False,LFI,0,0,0,180.4,15700,0.033000000000000015,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-001_dispatcher_mixed_default_20260628T071011Z
deepseek-v4-flash,web-001,all,no_validated_findings,finished,17,19,0,2,False,LFI,1,0,0,85.99,5700,0.012,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-001_dispatcher_mixed_default_20260628T071313Z
deepseek-v4-flash,web-002,baseline,no_validated_findings,finished,31,31,0,2,False,LFI,1,0,0,162.5,11500,0.024000000000000007,400428,8137,31,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-002_dispatcher_mixed_default_20260628T071441Z
deepseek-v4-flash,web-002,C2_only,no_validated_findings,max_steps,40,43,0,2,False,LFI,0,3,0,232.02,15700,0.033000000000000015,471508,11987,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-002_dispatcher_mixed_default_20260628T071725Z
deepseek-v4-flash,web-002,C3_only,no_validated_findings,max_steps,40,56,0,1,False,LFI,1,0,0,371.15,10400,0.022000000000000006,760687,18850,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-002_dispatcher_mixed_default_20260628T072118Z
deepseek-v4-flash,web-002,C1_only,no_validated_findings,max_steps,40,45,0,3,False,LFI,0,0,0,256.9,17600,0.03700000000000002,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-002_dispatcher_mixed_default_20260628T072731Z
deepseek-v4-flash,web-002,all,no_validated_findings,finished,26,30,0,4,False,LFI,0,1,0,214.79,8600,0.018000000000000002,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-002_dispatcher_mixed_default_20260628T073149Z
deepseek-v4-flash,web-003,baseline,no_validated_findings,finished,16,16,0,2,False,Auth Bypass,1,0,0,119.37,7400,0.017,189570,7239,16,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-003_dispatcher_mixed_default_20260628T073526Z
deepseek-v4-flash,web-003,C2_only,no_validated_findings,finished,15,14,0,2,False,Auth Bypass,1,0,0,92.33,6900,0.016,159545,4983,15,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-003_dispatcher_mixed_default_20260628T073726Z
deepseek-v4-flash,web-003,C3_only,no_validated_findings,finished,13,15,0,2,False,Auth Bypass,1,0,0,88.63,6900,0.016,176365,5462,13,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-003_dispatcher_mixed_default_20260628T073900Z
deepseek-v4-flash,web-003,C1_only,no_validated_findings,finished,8,8,0,1,False,Auth Bypass,1,0,0,62.24,6400,0.015,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-003_dispatcher_mixed_default_20260628T074030Z
deepseek-v4-flash,web-003,all,no_validated_findings,finished,10,12,0,1,False,Auth Bypass,1,0,0,83.07,6400,0.015,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-003_dispatcher_mixed_default_20260628T074134Z
deepseek-v4-flash,web-004,baseline,no_validated_findings,finished,27,28,0,4,False,SQLi,1,0,0,245.2,13100,0.032,467643,18015,27,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-004_dispatcher_mixed_default_20260628T074259Z
deepseek-v4-flash,web-004,C2_only,no_validated_findings,finished,29,32,0,2,False,SQLi,1,1,0,221.17,21200,0.052000000000000005,465507,17878,29,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-004_dispatcher_mixed_default_20260628T074705Z
deepseek-v4-flash,web-004,C3_only,no_validated_findings,finished,32,46,0,3,False,SQLi,1,0,0,288.46,13100,0.032,651061,26788,32,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-004_dispatcher_mixed_default_20260628T075048Z
deepseek-v4-flash,web-004,C1_only,no_validated_findings,finished,29,35,0,6,False,SQLi,1,0,0,207.2,10900,0.026000000000000002,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-004_dispatcher_mixed_default_20260628T075538Z
deepseek-v4-flash,web-004,all,no_validated_findings,max_steps,40,52,0,6,False,SQLi,1,1,0,336.55,23100,0.05600000000000001,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-004_dispatcher_mixed_default_20260628T075907Z
deepseek-v4-flash,web-005,baseline,no_validated_findings,finished,26,30,0,4,False,SQLi,1,0,0,410.28,18600,0.045000000000000005,659891,30466,26,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-005_dispatcher_mixed_default_20260628T080445Z
deepseek-v4-flash,web-005,C2_only,no_validated_findings,max_steps,40,45,0,7,False,SQLi,1,1,0,453.99,21000,0.05000000000000001,696829,36634,40,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-005_dispatcher_mixed_default_20260628T081137Z
deepseek-v4-flash,web-005,C3_only,no_validated_findings,finished,22,29,0,2,False,SQLi,1,0,0,208.29,10000,0.024,382526,13666,22,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-005_dispatcher_mixed_default_20260628T081912Z
deepseek-v4-flash,web-005,C1_only,no_validated_findings,finished,25,27,0,3,False,SQLi,1,0,0,363.08,16700,0.041,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-005_dispatcher_mixed_default_20260628T082242Z
deepseek-v4-flash,web-005,all,no_validated_findings,max_steps,40,42,0,3,False,SQLi,1,1,0,434.6,16600,0.041,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-005_dispatcher_mixed_default_20260628T082847Z
deepseek-v4-flash,web-006,baseline,no_validated_findings,finished,11,10,0,2,False,Mass Assignment,1,0,0,63.52,6400,0.015,107251,3975,11,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-006_dispatcher_mixed_default_20260628T083603Z
deepseek-v4-flash,web-006,C2_only,no_validated_findings,finished,34,37,0,3,False,Mass Assignment,1,0,0,200.01,17700,0.040000000000000015,444772,11590,34,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-006_dispatcher_mixed_default_20260628T083708Z
deepseek-v4-flash,web-006,C3_only,no_validated_findings,finished,20,23,0,4,False,Mass Assignment,1,0,0,137.58,9300,0.021000000000000005,311552,8692,20,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-006_dispatcher_mixed_default_20260628T084029Z
deepseek-v4-flash,web-006,C1_only,no_validated_findings,finished,11,14,0,2,False,Mass Assignment,1,0,0,71.35,6400,0.015,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-006_dispatcher_mixed_default_20260628T084248Z
deepseek-v4-flash,web-006,all,no_validated_findings,finished,15,27,0,3,False,Mass Assignment,1,0,0,104.34,6400,0.015,0,0,0,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-006_dispatcher_mixed_default_20260628T084401Z
deepseek-v4-flash,web-007,baseline,no_validated_findings,finished,38,40,0,5,False,LFI,0,0,0,407.24,14300,0.030000000000000013,1152574,34130,38,/root/DACN/outputs/runs_deepseek_deepseek-v4-flash/web-007_dispatcher_mixed_default_20260628T084547Z
