model,fixture,config,status,stop_reason,steps,tool_calls,validated_findings,llm_findings,solved,expected_vuln,detected,loop_detected,watchdog_trips,wall_s,budget_tokens,budget_cost,llm_tokens_in,llm_tokens_out,llm_calls,output_dir
gemini-3.1-flash-lite,web-001,baseline,no_validated_findings,finished,7,1,0,0,False,LFI,0,0,0,50.74,1400,0.003,7070,18,1,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-001_dispatcher_mixed_default_20260627T093433Z
gemini-3.1-flash-lite,web-001,C1_only,no_validated_findings,finished,10,4,0,1,False,LFI,1,0,0,70.86,1900,0.004,0,0,0,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-001_dispatcher_mixed_default_20260627T093526Z
gemini-3.1-flash-lite,web-001,C2_only,no_validated_findings,finished,9,3,0,1,False,LFI,1,0,0,65.4,1400,0.003,7070,18,1,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-001_dispatcher_mixed_default_20260627T093638Z
gemini-3.1-flash-lite,web-001,C3_only,no_validated_findings,finished,6,3,0,1,False,LFI,1,0,0,39.22,1400,0.003,9675,10,1,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-001_dispatcher_mixed_default_20260627T093745Z
gemini-3.1-flash-lite,web-001,all,no_validated_findings,finished,6,3,0,0,False,LFI,0,0,0,41.03,1900,0.004,0,0,0,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-001_dispatcher_mixed_default_20260627T093826Z
gemini-3.1-flash-lite,web-002,baseline,no_validated_findings,finished,9,4,0,1,False,LFI,0,0,0,65.81,1900,0.004,7070,18,1,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-002_dispatcher_mixed_default_20260627T093908Z
gemini-3.1-flash-lite,web-002,C1_only,no_validated_findings,finished,10,4,0,1,False,LFI,1,0,0,73.46,1900,0.004,0,0,0,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-002_dispatcher_mixed_default_20260627T094015Z
gemini-3.1-flash-lite,web-002,C2_only,no_validated_findings,finished,9,3,0,1,False,LFI,1,0,0,73.85,1400,0.003,7070,18,1,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-002_dispatcher_mixed_default_20260627T094130Z
gemini-3.1-flash-lite,web-002,C3_only,no_validated_findings,finished,7,3,0,1,False,LFI,1,0,0,52.43,1400,0.003,9675,10,1,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-002_dispatcher_mixed_default_20260627T094246Z
gemini-3.1-flash-lite,web-002,all,no_validated_findings,finished,7,4,0,1,False,LFI,1,0,0,53.7,1900,0.004,0,0,0,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-002_dispatcher_mixed_default_20260627T094340Z
gemini-3.1-flash-lite,web-003,baseline,no_validated_findings,finished,10,4,0,1,False,Auth Bypass,1,0,0,74.0,1900,0.004,7070,18,1,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-003_dispatcher_mixed_default_20260627T094435Z
gemini-3.1-flash-lite,web-003,C1_only,no_validated_findings,finished,7,1,0,0,False,Auth Bypass,0,0,0,49.29,1400,0.003,0,0,0,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-003_dispatcher_mixed_default_20260627T094902Z
gemini-3.1-flash-lite,web-003,C2_only,no_validated_findings,finished,9,4,0,1,False,Auth Bypass,1,0,0,62.81,1900,0.004,7070,18,1,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-003_dispatcher_mixed_default_20260627T094953Z
gemini-3.1-flash-lite,web-003,C3_only,no_validated_findings,finished,6,3,0,1,False,Auth Bypass,1,0,0,40.52,1400,0.003,9675,10,1,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-003_dispatcher_mixed_default_20260627T095057Z
gemini-3.1-flash-lite,web-003,all,no_validated_findings,finished,6,4,0,1,False,Auth Bypass,1,0,0,44.02,1400,0.003,0,0,0,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-003_dispatcher_mixed_default_20260627T095139Z
gemini-3.1-flash-lite,web-004,baseline,no_validated_findings,finished,8,2,0,0,False,SQLi,0,0,0,58.27,1400,0.003,7070,19,1,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-004_dispatcher_mixed_default_20260627T095225Z
gemini-3.1-flash-lite,web-004,C1_only,no_validated_findings,finished,7,4,0,1,False,SQLi,1,0,0,51.38,1900,0.004,0,0,0,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-004_dispatcher_mixed_default_20260627T095325Z
gemini-3.1-flash-lite,web-004,C2_only,no_validated_findings,finished,9,4,0,1,False,SQLi,1,0,0,63.6,1900,0.004,7070,18,1,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-004_dispatcher_mixed_default_20260627T095418Z
gemini-3.1-flash-lite,web-004,C3_only,no_validated_findings,finished,9,3,0,1,False,SQLi,1,0,0,67.98,900,0.002,9675,10,1,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-004_dispatcher_mixed_default_20260627T095523Z
gemini-3.1-flash-lite,web-004,all,no_validated_findings,finished,9,3,0,0,False,SQLi,0,0,0,61.5,1900,0.004,0,0,0,/root/DACN/outputs/runs_gemini_gemini-3.1-flash-lite/web-004_dispatcher_mixed_default_20260627T095632Z
