model,fixture,config,status,stop_reason,steps,tool_calls,validated_findings,llm_findings,solved,expected_vuln,detected,loop_detected,watchdog_trips,wall_s,budget_tokens,budget_cost,llm_tokens_in,llm_tokens_out,llm_calls,output_dir
gemma-4-31b-it,web-001,baseline,no_validated_findings,finished,30,29,0,3,False,LFI,1,0,0,319.4,12400,0.02600000000000001,293851,2961,30,/root/DACN/outputs/runs_gemini_gemma-4-31b-it/web-001_dispatcher_mixed_default_20260627T093519Z
gemma-4-31b-it,web-001,C1_only,no_validated_findings,finished,20,16,0,2,False,LFI,1,0,3,239.74,6700,0.014000000000000005,0,0,0,/root/DACN/outputs/runs_gemini_gemma-4-31b-it/web-001_dispatcher_mixed_default_20260627T094040Z
gemma-4-31b-it,web-001,C2_only,no_validated_findings,finished,26,25,0,3,False,LFI,1,0,0,387.17,11000,0.023000000000000007,323738,4100,26,/root/DACN/outputs/runs_gemini_gemma-4-31b-it/web-001_dispatcher_mixed_default_20260627T094750Z
gemma-4-31b-it,web-001,C3_only,no_validated_findings,finished,27,26,0,4,False,LFI,1,0,0,305.31,11400,0.024000000000000007,358634,3511,27,/root/DACN/outputs/runs_gemini_gemma-4-31b-it/web-001_dispatcher_mixed_default_20260627T095418Z
gemma-4-31b-it,web-001,all,no_validated_findings,finished,21,19,0,3,False,LFI,1,1,1,244.99,8100,0.017,0,0,0,/root/DACN/outputs/runs_gemini_gemma-4-31b-it/web-001_dispatcher_mixed_default_20260627T095925Z
gemma-4-31b-it,web-002,baseline,no_validated_findings,finished,21,20,0,2,False,LFI,1,0,0,410.23,7700,0.016000000000000004,228105,3952,21,/root/DACN/outputs/runs_gemini_gemma-4-31b-it/web-002_dispatcher_mixed_default_20260627T100332Z
gemma-4-31b-it,web-002,C1_only,no_validated_findings,finished,25,22,0,2,False,LFI,1,0,2,321.02,9600,0.020000000000000004,0,0,0,/root/DACN/outputs/runs_gemini_gemma-4-31b-it/web-002_dispatcher_mixed_default_20260627T101023Z
gemma-4-31b-it,web-002,C2_only,no_validated_findings,finished,13,12,0,2,False,LFI,1,0,0,238.02,4800,0.010000000000000002,136662,3924,13,/root/DACN/outputs/runs_gemini_gemma-4-31b-it/web-002_dispatcher_mixed_default_20260627T101546Z
gemma-4-31b-it,web-002,C3_only,no_validated_findings,finished,14,13,0,2,False,LFI,1,0,0,295.01,5700,0.012000000000000004,184301,6154,14,/root/DACN/outputs/runs_gemini_gemma-4-31b-it/web-002_dispatcher_mixed_default_20260627T101945Z
gemma-4-31b-it,web-002,all,no_validated_findings,finished,25,18,0,3,False,LFI,1,1,6,346.28,6700,0.014000000000000002,0,0,0,/root/DACN/outputs/runs_gemini_gemma-4-31b-it/web-002_dispatcher_mixed_default_20260627T102442Z
